code,name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap,total_count,total_count_2019,change,activer per 1000,income,poverty,age_med,population,black_population,asian_population,hispanic_population,occupied_unit,vacant_unit,owner,renter,vacant_occupied_ratio,owner_renter_ratio,black_pct,asian_pct,hispanic_pct,retailers_per_1000,perc_owners,borough,is_midtown
3,Brooklyn 16,48,30,18,6,5,1,35,98,0.357142857,0.300519899,35431,39.1,35.1,99827,72787,2752,23012,37770,3437,5818,31952,0.090998147,0.182085628,0.729131397,0.027567692107345707,0.2305187975197091,0.35060654933034147,15.403759597564203,Brooklyn,FALSE
3,Brooklyn 5,94,60,34,15,11,4,71,181,0.392265193,0.298763121,54431,24.6,40.7,200828,113423,16432,65791,76572,4367,17813,58759,0.057031291,0.3031535594547218,0.5647768239488518,0.08182126,0.3275987412113849,0.3535363594717868,23.263072663636837,Brooklyn,FALSE
1,Bronx 9,78,54,24,15,15,0,69,175,0.394285714,0.292297949,46904,23.7,42.6,184743,79924,3802,105892,62497,2098,3180,59317,0.033569611,0.053610263,0.43262261628316095,0.020579940782600694,0.5731854522228177,0.3734918237768143,5.088244235723314,Bronx,FALSE
3,Brooklyn 8,46,33,13,12,12,0,45,109,0.412844037,0.307208222,78598,20.2,40.5,107419,55666,7260,14470,48645,3762,9343,39302,0.0773358,0.2377232710803521,0.5182137238291178,0.067585809,0.13470615068097821,0.4189203027397388,19.20649604275876,Brooklyn,FALSE
2,Manhattan 12,86,60,26,28,25,3,85,199,0.427135678,0.296036077,59898,20.1,39.6,202678,42601,8567,134835,82694,4337,11304,71390,0.052446369,0.1583415044123826,0.21019054855485056,0.042269018,0.6652670738807369,0.41938444231737043,13.669673736909571,Manhattan,FALSE
1,Bronx 1&2,99,75,24,18,15,3,90,209,0.43062201,0.512358077,31651,32.8,41.6,146382,61300,1123,99439,56269,1095,6332,49937,0.019460093,0.1267997677073112,0.41876733478159883,0.007671708,0.6793116640024046,0.6148296921752674,11.253087845883169,Bronx,FALSE
1,Bronx 5,68,57,11,14,14,0,71,152,0.467105263,0.496394608,32049,38,41,114828,32444,7514,96713,52601,3000,2917,49684,0.057033136,0.058711054,0.28254432716758976,0.065437001,0.8422423102379211,0.6183160901522277,5.545521948251935,Bronx,FALSE
2,Manhattan 10,62,54,8,13,8,5,62,132,0.46969697,0.388620613,50079,28.2,29.7,138953,79063,7460,39170,63590,5691,8552,55038,0.089495204,0.1553835531814383,0.5689909537757372,0.053687218,0.281893878,0.44619403683259806,13.448655448969966,Manhattan,FALSE
1,Bronx 4,88,75,13,9,5,4,80,168,0.476190476,0.536684151,42963,34.6,45.3,139747,52840,2032,74275,42620,905,2381,40239,0.021234162,0.059171451,0.37811187360014886,0.014540562588105647,0.5314962038541078,0.5724630940199074,5.586579070858752,Bronx,FALSE
3,Brooklyn 3,97,73,24,20,22,0,95,199,0.477386935,0.438754658,71123,24.8,32.4,166380,82997,11921,29685,69016,4526,13428,55588,0.065578996,0.2415629272504857,0.49884000480827023,0.071649237,0.178416877,0.5709820891934126,19.45635794598354,Brooklyn,FALSE
