LOCAL.HEALTH.UNIT,OPERATION.NAME,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR.TYPE,CREATION.DATE,LOCATION,LAT,LONG,ADDRESS,census_code,census_tract
NYC,2918 GAS CORP,BRONX,NY,10469,BRONX,NEW YORK CITY,OTHER,07/10/2023,"2918 BOSTON ROAD BRONX, NY 10469 (40.868058834, -73.858776062)",40.868058834,-73.858776062,"2918 BOSTON ROAD BRONX, NY 10469 ",360050342002008,360050342002
NYC,SHISHA KING CORP,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"656 SUTTER AVENUE BROOKLYN, NY 11207 (40.669383086, -73.894472157)",40.669383086,-73.894472157,"656 SUTTER AVENUE BROOKLYN, NY 11207 ",360471156001001,360471156001
NYC,TUNI'S SERVICE CORP,BROOKLYN,NY,11215,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"306 18TH STREET BROOKLYN, NY 11215 (40.661722613, -73.989687559)",40.661722613,-73.989687559,"306 18TH STREET BROOKLYN, NY 11215 ",360470143002001,360470143002
NYC,"VISHWA NEWS, INC.",BROOKLYN,NY,11201,BROOKLYN,NEW YORK CITY,STAND,07/10/2023,"17 BOND STREET BROOKLYN, NY 11201 (40.689173136, -73.983153782)",40.689173136,-73.983153782,"17 BOND STREET BROOKLYN, NY 11201 ",360470037001002,360470037001
NYC,JAMAST HOLDING CORP,FLUSHING,NY,11358,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"161-17 29TH AVENUE FLUSHING, NY 11358 (40.771400067, -73.802775896)",40.771400067,-73.802775896,"161-17 29TH AVENUE FLUSHING, NY 11358 ",360811059004015,360811059004
NYC,60 ST SMOKE SHOP,BROOKLYN,NY,11220,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"480 60TH STREET BROOKLYN, NY 11220 (40.639525322, -74.016474194)",40.639525322,-74.016474194,"480 60TH STREET BROOKLYN, NY 11220 ",360470122001000,360470122001
NYC,DELI GRILL VAPE AND CONVENIENCES INC,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1510 CORTELYOU ROAD BROOKLYN, NY 11226 (40.64119881, -73.964131639)",40.64119881,-73.964131639,"1510 CORTELYOU ROAD BROOKLYN, NY 11226 ",360470520001001,360470520001
NYC,37 SMOKE SHOP INC,MANHATTAN,NY,10018,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"357 WEST 37TH STREET MANHATTAN, NY 10018 (40.755252331, -73.99456063)",40.755252331,-73.99456063,"357 WEST 37TH STREET MANHATTAN, NY 10018 ",360610111001000,360610111001
NYC,YESENIA A. RODRIGUEZ & MARCO A. TAVA,BROOKLYN,NY,11237,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"120 GRATTAN STREET BROOKLYN, NY 11237 (40.706135216, -73.928182076)",40.706135216,-73.928182076,"120 GRATTAN STREET BROOKLYN, NY 11237 ",360470453001010,360470453001
NYC,GNP SUNIL CORP,BRONX,NY,10463,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"585 WEST 235TH STREET BRONX, NY 10463 (40.885983743000054, -73.91116220199996)",40.8859837430001,-73.911162202,"585 WEST 235TH STREET BRONX, NY 10463 ",360050297001005,360050297001
