GEOID,NAME,B01003_001_estimate,B02001_001_estimate,med_inc_estimate,B25003_001_estimate,S1701_C01_001_estimate,B01003_001_moe,B02001_001_moe,med_inc_moe,B25003_001_moe,S1701_C01_001_moe
36005000200,"Census Tract 2, Bronx County, New York",4453,4453,70867,1392,4453,563,563,25423,203,563
36005000400,"Census Tract 4, Bronx County, New York",6000,6000,98090,2199,6000,903,903,18180,312,903
36005001600,"Census Tract 16, Bronx County, New York",6038,6038,40033,2187,5826,665,665,9907,260,653
36005001901,"Census Tract 19.01, Bronx County, New York",2168,2168,55924,885,2164,263,263,12028,108,264
36005001902,"Census Tract 19.02, Bronx County, New York",1399,1399,60804,376,1270,403,403,12156,52,392
36005002001,"Census Tract 20.01, Bronx County, New York",4694,4694,20870,1759,4694,884,884,10614,203,884
36005002300,"Census Tract 23, Bronx County, New York",4465,4465,22177,1918,4464,642,642,7257,196,642
36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677
36005002701,"Census Tract 27.01, Bronx County, New York",2938,2938,18686,1119,2901,583,583,3057,123,569
36005002702,"Census Tract 27.02, Bronx County, New York",4413,4413,14681,1524,4303,699,699,12224,136,668
36005002800,"Census Tract 28, Bronx County, New York",5372,5372,54321,2451,5338,827,827,10891,350,824
36005003100,"Census Tract 31, Bronx County, New York",2165,2165,34276,893,2165,430,430,16573,255,430
36005003300,"Census Tract 33, Bronx County, New York",3339,3339,20129,1237,3289,760,760,12453,167,753
36005003500,"Census Tract 35, Bronx County, New York",3880,3880,30793,1469,3880,899,899,2860,294,899
36005003700,"Census Tract 37, Bronx County, New York",277,277,37321,158,262,83,83,30214,45,78
36005003800,"Census Tract 38, Bronx County, New York",1313,1313,83295,343,1270,153,153,31789,25,141
36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219
36005004001,"Census Tract 40.01, Bronx County, New York",1574,1574,64087,497,1574,320,320,15215,65,320
36005004100,"Census Tract 41, Bronx County, New York",5798,5798,20551,2318,5773,1391,1391,6544,339,1390
36005004200,"Census Tract 42, Bronx County, New York",7803,7803,57250,2856,7747,987,987,32071,327,972
36005004300,"Census Tract 43, Bronx County, New York",5527,5527,25534,2179,5514,694,694,7655,179,697
36005004400,"Census Tract 44, Bronx County, New York",4551,4551,15750,1616,4365,503,503,3188,102,494
36005004600,"Census Tract 46, Bronx County, New York",1826,1826,29145,658,1745,365,365,11846,75,366
