"census_tract","med_inc_estimate","med_age_estimate","perc_poverty_estimate","perc_owners","perc_ethnic","counts","residuals"
36005000200,115064,40.7,14.1,60.2105263157895,69.7535934291581,2,-0.653089963485981
36005000400,100553,36.3,6,61.0220874837592,69.6819562090459,4,1.32592067645695
36005001600,41362,43.9,15,20.5895691609977,62.8946090335114,2,-1.18574332891985
36005001901,49500,32.4,28.6,0,48.4181568088033,1,-3.03906345507813
36005001902,67375,35.2,32.3,15.1709401709402,77.376526818906,2,-1.8663823755208
36005002300,19743,32.4,47.3,0,57.243816254417,1,-3.33514151190748
36005002500,27378,32.8,44.5,5.19547325102881,72.3147819922013,13,8.74024404116919
36005002701,21427,32.9,55.2,1.98446937014668,62.7586206896552,1,-3.41811478654458
36005002702,29206,30.4,44,2.54901960784314,67.96,6,1.64132092336193
36005002800,64308,43.3,2.5,9.28402832415421,33.7858508604207,4,0.901717821107226
36005003100,41370,30.3,22.7,12.7061105722599,61.8210238374365,3,-0.872992861691661
36005003300,24122,31.3,52.8,13.2786885245902,63.0795167181793,2,-2.25273236265335
36005003500,34185,30,26.8,3.92422192151556,59.01513208515,4,-0.073513537409153
36005003900,20640,34.4,33.5,3.56223175965665,94.4435522723623,9,4.82702633675526
36005004100,27328,33.4,41.9,7.52864157119476,58.8333586510709,5,0.891126144593573
36005004200,52423,30.6,19.6,11.7043121149897,55.0311774055508,2,-1.80827144208337
36005004300,34890,32.7,27.3,13.3755083596927,69.0421183579172,10,6.12441661182378
36005004400,17319,33.2,48.7,4.03726708074534,61.9991289198606,2,-2.28081943237585
36005004600,17083,34.2,60.5,17.2619047619048,68.2926829268293,1,-3.21839515597668
36005004800,34436,29.4,30.2,7.41956664478004,78.3618868810138,2,-2.16346913792825
36005005001,34087,30.4,49,12.2004357298475,66.7688937568456,2,-2.26332943562631
36005005002,36598,29.7,40.7,7.59297520661157,74.1725951128983,6,1.72127821190427
36005005100,22850,28.6,50.1,6.48305084745763,47.1195317313617,4,-0.351489334719921
36005005200,29657,32.2,37.9,10.8536585365854,62.7654065251165,1,-3.05486433461943
36005005300,26437,23.1,49.9,0,42.0896077337795,3,-1.61884732714202
36005005400,48750,30.5,27.3,13.3632790567097,72.5459317585302,5,1.03609708301508
36005005600,39572,36,34.9,15.8447009443862,80.9606231068801,3,-0.879483543373756
36005005902,48456,37,30.9,32.5581395348837,71.0347174948945,1,-2.47265480007553
36005006200,30236,29.7,37.6,1.92685804168305,66.8650474505389,6,1.70094132262983
36005006301,55396,38.4,26.9,22.1884498480243,60.8554319931566,14,10.5003984504919
36005006400,24730,32.1,42.5,20.2458423716558,64.8930753564155,2,-1.97542644769659
36005006500,22985,28.8,53.5,5.79508576726936,62.3778212191221,14,9.53309323610882
