,GEOID,NAME,population_estimate,race_estimate,med_inc_estimate,tenure_estimate,poverty_estimate,population_moe,race_moe,med_inc_moe,tenure_moe,poverty_moe,LOCAL.HEALTH.UNIT,OPERATION.NAME,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR.TYPE,CREATION.DATE,LOCATION,LAT,LONG,ADDRESS,census_code,census_tract
0,36005000200,"Census Tract 2, Bronx County, New York",4453,4453,70867,1392,4453,563,563,25423,203,563,NYC,TAYLOR SUPERETTE CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"459 TAYLOR AVENUE BRONX, NY 10473 (40.814833204, -73.861561871)",40.814833204,-73.861561871,"459 TAYLOR AVENUE BRONX, NY 10473 ",360050002001002,36005000200
1,36005000200,"Census Tract 2, Bronx County, New York",4453,4453,70867,1392,4453,563,563,25423,203,563,NYC,2020 KARIM MARKET CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"333 SOUNDVIEW AVENUE BRONX, NY 10473 (40.812257151, -73.856871358)",40.812257151,-73.856871358,"333 SOUNDVIEW AVENUE BRONX, NY 10473 ",360050002002008,36005000200
2,36005000400,"Census Tract 4, Bronx County, New York",6000,6000,98090,2199,6000,903,903,18180,312,903,NYC,RASHAD L. MOHAMMED,BRONX,NY,10026,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"268 WHITE PLAINS ROAD BRONX, NY 10026 (40.81133619, -73.855571912)",40.81133619,-73.855571912,"268 WHITE PLAINS ROAD BRONX, NY 10026 ",360050004002006,36005000400
3,36005000400,"Census Tract 4, Bronx County, New York",6000,6000,98090,2199,6000,903,903,18180,312,903,NYC,EXPRESS FOOD AND GROCERY INC.,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"444 SOUNDVIEW AVENUE BRONX, NY 10473 (40.814811746, -73.858863317)",40.814811746,-73.858863317,"444 SOUNDVIEW AVENUE BRONX, NY 10473 ",360050004001002,36005000400
4,36005000400,"Census Tract 4, Bronx County, New York",6000,6000,98090,2199,6000,903,903,18180,312,903,NYC,RIVERA DELI CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"400 SOUNDVIEW  AVENUE BRONX, NY 10473 (40.813523154, -73.85765121)",40.813523154,-73.85765121,"400 SOUNDVIEW  AVENUE BRONX, NY 10473 ",360050004001001,36005000400
5,36005000400,"Census Tract 4, Bronx County, New York",6000,6000,98090,2199,6000,903,903,18180,312,903,NYC,"WHITE PLAINS DELI GROCERY, CORP.",BRONX10473,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1918 LACOMBE AVENUE BRONX10473, NY 10473 (40.815520059, -73.856975797)",40.815520059,-73.856975797,"1918 LACOMBE AVENUE BRONX10473, NY 10473 ",360050004001000,36005000400
6,36005001600,"Census Tract 16, Bronx County, New York",6038,6038,40033,2187,5826,665,665,9907,260,653,NYC,F & M CONVENIENCE CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"511 SOUNDVIEW AVENUE BRONX, NY 10473 (40.81564277, -73.860409108)",40.81564277,-73.860409108,"511 SOUNDVIEW AVENUE BRONX, NY 10473 ",360050016002005,36005001600
7,36005001600,"Census Tract 16, Bronx County, New York",6038,6038,40033,2187,5826,665,665,9907,260,653,NYC,MICHAEL'S DELI CORP.,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"745 WHITE PALINS ROAD BRONX, NY 10473 (40.821504528, -73.858436511)",40.821504528,-73.858436511,"745 WHITE PALINS ROAD BRONX, NY 10473 ",360050016001000,36005001600
8,36005001901,"Census Tract 19.01, Bronx County, New York",2168,2168,55924,885,2164,263,263,12028,108,264,NYC,CZAR CONVENIENCE MART CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"122 ALEXANDER AVENUE BRONX, NY 10454 (40.806971481, -73.927179013)",40.806971481,-73.927179013,"122 ALEXANDER AVENUE BRONX, NY 10454 ",360050019011011,36005001901
9,36005001902,"Census Tract 19.02, Bronx County, New York",1399,1399,60804,376,1270,403,403,12156,52,392,NYC,WILLIAMS BRIDGE GAS &CONVENIENCE LLC,BRONX,NY,10454,BRONX,NEW YORK CITY,CONVENIENCE/GAS,07/10/2023,"119 BRUCKNER BOULEVARD BRONX, NY 10454 (40.804777183, -73.921566994)",40.804777183,-73.921566994,"119 BRUCKNER BOULEVARD BRONX, NY 10454 ",360050019021036,36005001902
