census_tract,med_inc_estimate,med_age_estimate,perc_poverty_estimate,perc_owners,perc_ethnic,counts
36005000200,115064,40.7,14.1,60.21052631578947,69.75359342915812,2
36005000400,100553,36.3,6.0,61.0220874837592,69.68195620904586,4
36005001600,41362,43.9,15.0,20.58956916099773,62.89460903351141,2
36005001901,49500,32.4,28.6,0.0,48.4181568088033,1
36005001902,67375,35.2,32.3,15.17094017094017,77.376526818906,2
36005002300,19743,32.4,47.3,0.0,57.24381625441697,1
36005002500,27378,32.8,44.5,5.195473251028806,72.31478199220135,13
36005002701,21427,32.9,55.2,1.984469370146678,62.75862068965517,1
36005002702,29206,30.4,44.0,2.549019607843137,67.96,6
36005002800,64308,43.3,2.5,9.284028324154209,33.78585086042065,4
36005003100,41370,30.3,22.7,12.70611057225994,61.821023837436506,3
36005003300,24122,31.3,52.8,13.278688524590162,63.07951671817926,2
36005003500,34185,30.0,26.8,3.924221921515562,59.015132085150036,4
36005003900,20640,34.4,33.5,3.5622317596566524,94.4435522723623,9
36005004100,27328,33.4,41.9,7.528641571194762,58.83335865107093,5
36005004200,52423,30.6,19.6,11.704312114989733,55.0311774055508,2
36005004300,34890,32.7,27.3,13.375508359692725,69.04211835791718,10
36005004400,17319,33.2,48.7,4.037267080745342,61.99912891986064,2
36005004600,17083,34.2,60.5,17.261904761904763,68.29268292682926,1
36005004800,34436,29.4,30.2,7.419566644780039,78.36188688101385,2
36005005001,34087,30.4,49.0,12.200435729847495,66.76889375684556,2
36005005002,36598,29.7,40.7,7.59297520661157,74.17259511289825,6
36005005100,22850,28.6,50.1,6.483050847457628,47.119531731361675,4
36005005200,29657,32.2,37.9,10.853658536585366,62.76540652511652,1
36005005300,26437,23.1,49.9,0.0,42.08960773377951,3
36005005400,48750,30.5,27.3,13.363279056709715,72.54593175853019,5
36005005600,39572,36.0,34.9,15.844700944386151,80.96062310688013,3
36005005902,48456,37.0,30.9,32.55813953488372,71.03471749489448,1
36005006200,30236,29.7,37.6,1.9268580416830514,66.86504745053885,6
36005006301,55396,38.4,26.9,22.188449848024316,60.85543199315655,14
36005006400,24730,32.1,42.5,20.24584237165582,64.89307535641548,2
36005006500,22985,28.8,53.5,5.795085767269356,62.3778212191221,14
36005006700,17390,31.4,53.0,3.982985305491106,71.18193891102258,9
36005006800,29844,31.2,34.4,18.081587651598678,83.39350180505414,2
36005006900,29627,32.4,38.3,4.7767393561786085,71.53694858106209,5
36005007000,57905,35.9,29.4,32.53477588871716,76.40217110364435,4
36005007100,44792,34.6,17.6,38.93312101910828,67.79247910863509,1
36005007200,63449,36.6,16.3,35.06965475469413,83.85686528497409,6
36005007300,28166,28.5,35.0,8.664495114006515,68.31683168316832,3
36005007500,34484,33.0,32.7,18.61145964031786,65.63718140929535,6
36005007600,53784,36.2,16.4,21.841541755888652,72.57780387551381,7
36005007700,48846,29.0,22.0,24.035087719298247,66.2511542012927,3
