GEOID,NAME,B01002_001_estimate,population_estimate,total_race_estimate,white_estimate,med_inc_estimate,owners_estimate,renters_estimate,perc_poverty_estimate,B01002_001_moe,population_moe,total_race_moe,white_moe,med_inc_moe,owners_moe,renters_moe,perc_poverty_moe,LOCAL.HEALTH.UNIT,OPERATION.NAME,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR.TYPE,CREATION.DATE,LOCATION,LAT,LONG,ADDRESS,census_code,census_tract
36005000200,Census Tract 2; Bronx County; New York,40.7,4870,4870,1473,115064,858,567,14.1,4.5,621,621,450,51789,141,261,6.9,NYC,TAYLOR SUPERETTE CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"459 TAYLOR AVENUE BRONX, NY 10473 (40.814833204, -73.861561871)",40.814833204,-73.861561871,"459 TAYLOR AVENUE BRONX, NY 10473 ",360050002001002,36005000200
36005000200,Census Tract 2; Bronx County; New York,40.7,4870,4870,1473,115064,858,567,14.1,4.5,621,621,450,51789,141,261,6.9,NYC,2020 KARIM MARKET CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"333 SOUNDVIEW AVENUE BRONX, NY 10473 (40.812257151, -73.856871358)",40.812257151,-73.856871358,"333 SOUNDVIEW AVENUE BRONX, NY 10473 ",360050002002008,36005000200
36005000400,Census Tract 4; Bronx County; New York,36.3,6257,6257,1897,100553,1409,900,6.0,5.7,982,982,672,31493,268,375,3.2,NYC,RASHAD L. MOHAMMED,BRONX,NY,10026,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"268 WHITE PLAINS ROAD BRONX, NY 10026 (40.81133619, -73.855571912)",40.81133619,-73.855571912,"268 WHITE PLAINS ROAD BRONX, NY 10026 ",360050004002006,36005000400
36005000400,Census Tract 4; Bronx County; New York,36.3,6257,6257,1897,100553,1409,900,6.0,5.7,982,982,672,31493,268,375,3.2,NYC,EXPRESS FOOD AND GROCERY INC.,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"444 SOUNDVIEW AVENUE BRONX, NY 10473 (40.814811746, -73.858863317)",40.814811746,-73.858863317,"444 SOUNDVIEW AVENUE BRONX, NY 10473 ",360050004001002,36005000400
36005000400,Census Tract 4; Bronx County; New York,36.3,6257,6257,1897,100553,1409,900,6.0,5.7,982,982,672,31493,268,375,3.2,NYC,RIVERA DELI CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"400 SOUNDVIEW  AVENUE BRONX, NY 10473 (40.813523154, -73.85765121)",40.813523154,-73.85765121,"400 SOUNDVIEW  AVENUE BRONX, NY 10473 ",360050004001001,36005000400
36005000400,Census Tract 4; Bronx County; New York,36.3,6257,6257,1897,100553,1409,900,6.0,5.7,982,982,672,31493,268,375,3.2,NYC,"WHITE PLAINS DELI GROCERY, CORP.",BRONX10473,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1918 LACOMBE AVENUE BRONX10473, NY 10473 (40.815520059, -73.856975797)",40.815520059,-73.856975797,"1918 LACOMBE AVENUE BRONX10473, NY 10473 ",360050004001000,36005000400
36005001600,Census Tract 16; Bronx County; New York,43.9,6177,6177,2292,41362,454,1751,15.0,3.3,618,618,628,11967,145,276,5.9,NYC,F & M CONVENIENCE CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"511 SOUNDVIEW AVENUE BRONX, NY 10473 (40.81564277, -73.860409108)",40.81564277,-73.860409108,"511 SOUNDVIEW AVENUE BRONX, NY 10473 ",360050016002005,36005001600
36005001600,Census Tract 16; Bronx County; New York,43.9,6177,6177,2292,41362,454,1751,15.0,3.3,618,618,628,11967,145,276,5.9,NYC,MICHAEL'S DELI CORP.,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"745 WHITE PALINS ROAD BRONX, NY 10473 (40.821504528, -73.858436511)",40.821504528,-73.858436511,"745 WHITE PALINS ROAD BRONX, NY 10473 ",360050016001000,36005001600
36005001901,Census Tract 19.01; Bronx County; New York,32.4,2181,2181,1125,49500,0,940,28.6,2.2,258,258,292,19070,13,108,9.9,NYC,CZAR CONVENIENCE MART CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"122 ALEXANDER AVENUE BRONX, NY 10454 (40.806971481, -73.927179013)",40.806971481,-73.927179013,"122 ALEXANDER AVENUE BRONX, NY 10454 ",360050019011011,36005001901
36005001902,Census Tract 19.02; Bronx County; New York,35.2,1883,1883,426,67375,71,397,32.3,5.2,458,458,121,24301,42,98,13.0,NYC,WILLIAMS BRIDGE GAS &CONVENIENCE LLC,BRONX,NY,10454,BRONX,NEW YORK CITY,CONVENIENCE/GAS,07/10/2023,"119 BRUCKNER BOULEVARD BRONX, NY 10454 (40.804777183, -73.921566994)",40.804777183,-73.921566994,"119 BRUCKNER BOULEVARD BRONX, NY 10454 ",360050019021036,36005001902
