GEOID,NAME,med_age_estimate,population_estimate,total_race_estimate,white_estimate,med_inc_estimate,owners_estimate,renters_estimate,perc_poverty_estimate,med_age_moe,population_moe,total_race_moe,white_moe,med_inc_moe,owners_moe,renters_moe,perc_poverty_moe,census_tract,counts
36005000200,Census Tract 2; Bronx County; New York,40.7,4870,4870,1473,115064,858,567,14.1,4.5,621,621,450,51789,141,261,6.9,36005000200,2
36005000400,Census Tract 4; Bronx County; New York,36.3,6257,6257,1897,100553,1409,900,6.0,5.7,982,982,672,31493,268,375,3.2,36005000400,4
36005001600,Census Tract 16; Bronx County; New York,43.9,6177,6177,2292,41362,454,1751,15.0,3.3,618,618,628,11967,145,276,5.9,36005001600,2
36005001901,Census Tract 19.01; Bronx County; New York,32.4,2181,2181,1125,49500,0,940,28.6,2.2,258,258,292,19070,13,108,9.9,36005001901,1
36005001902,Census Tract 19.02; Bronx County; New York,35.2,1883,1883,426,67375,71,397,32.3,5.2,458,458,121,24301,42,98,13.0,36005001902,2
36005002300,Census Tract 23; Bronx County; New York,32.4,4528,4528,1936,19743,0,1923,47.3,4.0,596,596,526,6261,13,201,10.9,36005002300,1
36005002500,Census Tract 25; Bronx County; New York,32.8,5642,5642,1562,27378,101,1843,44.5,4.7,741,741,430,10797,97,158,9.7,36005002500,13
36005002701,Census Tract 27.01; Bronx County; New York,32.9,3335,3335,1242,21427,23,1136,55.2,4.4,534,534,374,4951,33,129,12.5,36005002701,1
36005002702,Census Tract 27.02; Bronx County; New York,30.4,5000,5000,1602,29206,39,1491,44.0,2.8,593,593,523,12504,55,163,12.3,36005002702,6
36005002800,Census Tract 28; Bronx County; New York,43.3,5230,5230,3463,64308,236,2306,2.5,9.6,763,763,536,17895,122,368,2.3,36005002800,4
36005003100,Census Tract 31; Bronx County; New York,30.3,2559,2559,977,41370,131,900,22.7,1.0,436,436,245,14881,69,267,8.7,36005003100,3
36005003300,Census Tract 33; Bronx County; New York,31.3,3559,3559,1314,24122,162,1058,52.8,6.1,654,654,678,10692,99,199,15.8,36005003300,2
36005003500,Census Tract 35; Bronx County; New York,30.0,3899,3899,1598,34185,58,1420,26.8,6.7,922,922,879,5201,53,294,9.2,36005003500,4
36005003900,Census Tract 39; Bronx County; New York,34.4,6227,6227,346,20640,83,2247,33.5,5.8,1225,1225,185,11293,75,326,12.9,36005003900,9
36005004100,Census Tract 41; Bronx County; New York,33.4,6583,6583,2710,27328,184,2260,41.9,3.1,1267,1267,865,13177,175,319,14.3,36005004100,5
36005004200,Census Tract 42; Bronx County; New York,30.6,8179,8179,3678,52423,342,2580,19.6,2.1,1033,1033,1055,30543,167,326,7.9,36005004200,2
36005004300,Census Tract 43; Bronx County; New York,32.7,5627,5627,1742,34890,296,1917,27.3,3.6,680,680,622,13851,156,222,7.3,36005004300,10
36005004400,Census Tract 44; Bronx County; New York,33.2,4592,4592,1745,17319,65,1545,48.7,5.8,598,598,487,5970,57,129,11.5,36005004400,2
36005004600,Census Tract 46; Bronx County; New York,34.2,1763,1763,559,17083,116,556,60.5,5.1,396,396,310,11047,51,86,15.6,36005004600,1
36005004800,Census Tract 48; Bronx County; New York,29.4,4261,4261,922,34436,113,1410,30.2,1.9,601,601,493,23748,79,179,12.2,36005004800,2
36005005001,Census Tract 50.01; Bronx County; New York,30.4,4565,4565,1517,34087,168,1209,49.0,4.2,551,551,409,7093,63,125,10.1,36005005001,2
36005005002,Census Tract 50.02; Bronx County; New York,29.7,6466,6466,1670,36598,147,1789,40.7,3.2,1068,1068,868,14617,100,199,9.6,36005005002,6
36005005100,Census Tract 51; Bronx County; New York,28.6,6492,6492,3433,22850,153,2207,50.1,4.7,1118,1118,872,3093,127,285,12.0,36005005100,4
36005005200,Census Tract 52; Bronx County; New York,32.2,1931,1931,719,29657,89,731,37.9,2.4,298,298,279,14812,83,110,14.3,36005005200,1
36005005300,Census Tract 53; Bronx County; New York,23.1,5379,5379,3115,26437,0,1634,49.9,5.1,769,769,835,7350,19,167,12.3,36005005300,3
36005005400,Census Tract 54; Bronx County; New York,30.5,5715,5715,1569,48750,238,1543,27.3,4.8,798,798,445,9876,97,234,8.1,36005005400,5
36005005600,Census Tract 56; Bronx County; New York,36.0,2311,2311,440,39572,151,802,34.9,9.4,318,318,187,11520,117,98,10.9,36005005600,3
